rhône	-0.487794920746	18	10	12	7	8.19826962714	7.93319885504	0.0701312433488
actualité	-0.487794920746	12	7	12	7	8.19826962714	7.93319885504	0.0701312433488
-t-on	0.714756885942	6	6	4	4	9.00562454919	9.51816135576	0.05
seraient	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
bel_et_bien	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
souhaitable	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
annaud	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
déploient	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
arrachés	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
découpage	-0.861880556225	7	3	7	3	9.42066204847	8.7108064337	0.0647718639657
généraliste	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
assez	-0.450107673467	21	13	21	13	7.30518483105	7.12584393298	0.0912881170229
type	0.70970246149	28	23	27	22	6.54619293056	6.76327385359	0.358710130594
capital	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
réalisé	0.275570202059	13	11	9	7	8.19826962714	8.34823635431	0.285795493491
ainsi_que	-0.356360906891	53	35	53	35	5.87634153225	5.79024090119	0.125542859004
dessine	-1.56483263382	6	1	6	1	11.0056245492	8.93319885504	0.399977578352
adultes	0.588653724293	8	7	8	7	8.19826962714	8.51816135576	0.5064355568
mois	1.13128917247	10	10	10	10	7.68369645431	8.19623326087	0.05
populations	-1.08671762601	16	8	15	7	8.19826962714	7.61127076015	0.0532083680184
réseaux	-0.900366286072	14	7	14	7	8.19826962714	7.7108064337	0.05
expose	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
secondaire	0.588653724293	8	7	8	7	8.19826962714	8.51816135576	0.5064355568
wars	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
hésite	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
amena	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
.-y	-1.45090297881	3	0	3	0	17.649480739	9.93319885504	0.05
spéculative	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
minorité	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
beauté	0.505236975686	3	3	2	2	10.0056245492	10.5181613558	0.05
ouvrent	0.946019083616	7	7	7	7	8.19826962714	8.7108064337	0.05
90	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
sortir	0.548695663085	12	10	12	10	7.68369645431	7.93319885504	0.399977578352
97	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
xiiie	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
me	-1.13877090245	19	12	10	4	9.00562454919	8.19623326087	0.0790494055453
1990	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
complexité	-1.10277059444	9	3	8	3	9.42066204847	8.51816135576	0.095565997075
1992	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
1995	0.946019083616	7	7	7	7	8.19826962714	8.7108064337	0.05
semble	-0.87873949455	46	27	44	26	6.30518483105	6.05872973712	0.0739793517634
provoque	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
1999	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
commentaire	-1.10277059444	8	3	8	3	9.42066204847	8.51816135576	0.095565997075
transparence	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
liée	0.588653724293	8	7	8	7	8.19826962714	8.51816135576	0.5064355568
civilisations	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
disparition	0.4651132094	17	15	11	9	7.83569954775	8.05872973712	0.365961564361
mycénienne	0.799258942701	5	5	5	5	8.68369645431	9.19623326087	0.05
gérer	0.714756885942	5	5	4	4	9.00562454919	9.51816135576	0.05
périodes	-0.67991451476	8	4	8	4	9.00562454919	8.51816135576	0.05
mixité	0.674310903904	13	11	9	8	8.00562454919	8.34823635431	0.546741665224
partant	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
concepts	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
tribunaux	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
vigoureuse	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
latin	0.626531582748	17	13	13	11	7.54619293056	7.81772163762	0.430617805321
avaient	1.06665234792	25	23	20	18	6.83569954775	7.19623326087	0.581004406411
utiles	-0.760427556634	10	5	10	5	8.68369645431	8.19623326087	0.05
répond	-0.10051674049	6	4	6	4	9.00562454919	8.93319885504	0.131704165946
climat	-0.269943556246	6	4	5	3	9.42066204847	9.19623326087	0.0790494055453
fragments	-0.487794920746	12	7	12	7	8.19826962714	7.93319885504	0.0701312433488
soutien	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
in	0.147802523704	24	16	22	16	7.00562454919	7.05872973712	0.204649063378
acteurs	-0.00752042217934	44	30	40	28	6.19826962714	6.19623326087	0.168709100769
khmer	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
produits	-1.10277059444	8	3	8	3	9.42066204847	8.51816135576	0.095565997075
vador	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
